,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
547,Warangal,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
548,Warangal,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
549,Warangal,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
550,Warangal,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
551,Warangal,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
552,Warangal,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
553,Warangal,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
554,Warangal,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
555,Warangal,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
556,Warangal,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
557,Warangal,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
558,Warangal,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
559,Warangal,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
560,Warangal,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
561,Warangal,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
562,Warangal,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
563,Warangal,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
564,Warangal,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
565,Warangal,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
566,Karimnagar,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
567,Karimnagar,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
568,Karimnagar,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
569,Karimnagar,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
570,Karimnagar,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
571,Karimnagar,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
572,Karimnagar,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
573,Karimnagar,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
574,Karimnagar,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
575,Karimnagar,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
