,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
236,Karimnagar,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
237,Karimnagar,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
238,Karimnagar,NOV,2020,01-11-20,30-11-20,1604169000,1606674600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
239,Karimnagar,DEC,2020,01-12-20,31-12-20,1606761000,1609353000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
240,Khammam,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
241,Khammam,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
242,Khammam,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
243,Khammam,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
244,Khammam,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
245,Khammam,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
246,Khammam,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Khammam, Telangana, India",lat=17.5&lon=80.333333
247,Khammam,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
248,Khammam,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
249,Khammam,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
